2014/06/16 22:36:25 [I] IP:[192.168.0.102]
2014/06/16 22:36:25 [I] 与服务器连接中...
2014/06/16 22:36:26 [E] 连接服务器失败,请检查网络或服务器是否启动...
2014/06/16 22:36:26 [I] 30秒后自动重新连接...
2014/06/16 22:36:56 [I] 与服务器连接中...
2014/06/16 22:36:57 [E] 连接服务器失败,请检查网络或服务器是否启动...
2014/06/16 22:36:57 [I] 30秒后自动重新连接...
2014/06/16 22:37:27 [I] 与服务器连接中...
2014/06/16 22:37:28 [E] 连接服务器失败,请检查网络或服务器是否启动...
2014/06/16 22:37:28 [I] 30秒后自动重新连接...
2014/06/16 22:37:58 [I] 与服务器连接中...
2014/06/16 22:37:58 [I] 连接服务器成功...
2014/06/16 22:48:46 [I] IP:[192.168.0.102]
2014/06/16 22:48:46 [I] 与服务器连接中...
2014/06/16 22:48:47 [E] 连接服务器失败,请检查网络或服务器是否启动...
2014/06/16 22:48:47 [I] 30秒后自动重新连接...
2014/06/16 23:47:46 [I] IP:[192.168.0.102]
2014/06/16 23:47:46 [I] 与服务器连接中...
2014/06/16 23:47:46 [I] 连接服务器成功...
2014/06/16 23:48:22 [I] 正在上传数据...
2014/06/16 23:48:22 [T] [J?79288331] STATE:OK
2014/06/16 23:48:22 [T] [JX79288316] STATE:OK
2014/06/16 23:48:22 [T] [PO62940613] STATE:OK
2014/06/16 23:48:22 [T] [PO62940669] STATE:OK
2014/06/16 23:48:22 [T] [PO62940687] STATE:OK
2014/06/16 23:48:22 [T] [J?79288331] STATE:OK
2014/06/16 23:48:22 [T] [JX79288316] STATE:OK
2014/06/16 23:48:22 [T] [PO62940613] STATE:OK
2014/06/16 23:48:22 [T] [PO62940669] STATE:OK
2014/06/16 23:48:23 [T] [PO62940687] STATE:OK
2014/06/16 23:48:23 [T] [J?79288331] STATE:OK
2014/06/16 23:48:23 [T] [JX79288316] STATE:OK
2014/06/16 23:48:23 [T] [PO62940613] STATE:OK
2014/06/16 23:48:23 [T] [PO62940669] STATE:OK
2014/06/16 23:48:23 [T] [PO62940687] STATE:OK
2014/06/16 23:48:23 [T] [J?79288331] STATE:OK
2014/06/16 23:48:23 [T] [JX79288316] STATE:OK
2014/06/16 23:48:23 [T] [PO62940613] STATE:OK
2014/06/16 23:48:23 [T] [PO62940669] STATE:OK
2014/06/16 23:48:23 [T] [PO62940687] STATE:OK
2014/06/16 23:48:23 [T] [J?79288331] STATE:OK
2014/06/16 23:48:23 [T] [JX79288316] STATE:OK
2014/06/16 23:48:23 [T] [PO62940613] STATE:OK
2014/06/16 23:48:23 [T] [PO62940669] STATE:OK
2014/06/16 23:48:23 [T] [PO62940687] STATE:OK
2014/06/16 23:48:23 [T] [J?79288331] STATE:OK
2014/06/16 23:48:23 [T] [JX79288316] STATE:OK
2014/06/16 23:48:23 [T] [PO62940613] STATE:OK
2014/06/16 23:48:23 [T] [PO62940669] STATE:OK
2014/06/16 23:48:23 [T] [PO62940687] STATE:OK
2014/06/16 23:48:23 [T] [J?79288331] STATE:OK
2014/06/16 23:48:23 [T] [JX79288316] STATE:OK
2014/06/16 23:48:24 [T] [PO62940613] STATE:OK
2014/06/16 23:48:24 [T] [PO62940669] STATE:OK
2014/06/16 23:48:24 [T] [PO62940687] STATE:OK
2014/06/16 23:48:24 [T] [J?79288331] STATE:OK
2014/06/16 23:48:24 [T] [JX79288316] STATE:OK
2014/06/16 23:48:24 [T] [PO62940613] STATE:OK
2014/06/16 23:48:24 [T] [PO62940669] STATE:OK
2014/06/16 23:48:24 [T] [PO62940687] STATE:OK
2014/06/16 23:48:24 [T] [J?79288331] STATE:OK
2014/06/16 23:48:24 [T] [JX79288316] STATE:OK
2014/06/16 23:48:24 [T] [PO62940613] STATE:OK
2014/06/16 23:48:24 [T] [PO62940669] STATE:OK
2014/06/16 23:48:24 [T] [PO62940687] STATE:OK
2014/06/16 23:48:24 [T] [J?79288331] STATE:OK
2014/06/16 23:48:24 [T] [JX79288316] STATE:OK
2014/06/16 23:48:24 [T] [PO62940613] STATE:OK
2014/06/16 23:48:24 [T] [PO62940669] STATE:OK
2014/06/16 23:48:25 [T] [PO62940687] STATE:OK
2014/06/16 23:48:25 [T] [J?79288331] STATE:OK
2014/06/16 23:48:25 [T] [JX79288316] STATE:OK
2014/06/16 23:48:25 [T] [PO62940613] STATE:OK
2014/06/16 23:48:25 [T] [PO62940669] STATE:OK
2014/06/16 23:48:25 [T] [PO62940687] STATE:OK
2014/06/16 23:48:25 [T] [J?79288331] STATE:OK
2014/06/16 23:48:25 [T] [JX79288316] STATE:OK
2014/06/16 23:48:25 [T] [PO62940613] STATE:OK
2014/06/16 23:48:25 [T] [PO62940669] STATE:OK
2014/06/16 23:48:25 [T] [PO62940687] STATE:OK
